idcodigo,codifodepartamento,nombredepartamento,codigomunicipio,nombremunicipio
1,5,ANTIOQUIA,1,MEDELLIN
2,5,ANTIOQUIA,2,ABEJORRAL
3,5,ANTIOQUIA,4,ABRIAQUI
4,5,ANTIOQUIA,21,ALEJANDRIA
5,5,ANTIOQUIA,30,AMAGA
6,5,ANTIOQUIA,31,AMALFI
7,5,ANTIOQUIA,34,ANDES
8,5,ANTIOQUIA,36,ANGELOPOLIS
9,5,ANTIOQUIA,38,ANGOSTURA
10,5,ANTIOQUIA,40,ANORI
11,5,ANTIOQUIA,42,SANTAFE DE ANTIOQUIA
12,5,ANTIOQUIA,44,ANZA
13,5,ANTIOQUIA,45,APARTADO
14,5,ANTIOQUIA,51,ARBOLETES
15,5,ANTIOQUIA,55,ARGELIA
16,5,ANTIOQUIA,59,ARMENIA
17,5,ANTIOQUIA,79,BARBOSA
18,5,ANTIOQUIA,86,BELMIRA
19,5,ANTIOQUIA,88,BELLO
20,5,ANTIOQUIA,91,BETANIA
21,5,ANTIOQUIA,93,BETULIA
22,5,ANTIOQUIA,101,CIUDAD BOLIVAR
23,5,ANTIOQUIA,107,BRICEÑO
24,5,ANTIOQUIA,113,BURITICA
25,5,ANTIOQUIA,120,CACERES
26,5,ANTIOQUIA,125,CAICEDO
27,5,ANTIOQUIA,129,CALDAS
28,5,ANTIOQUIA,134,CAMPAMENTO
29,5,ANTIOQUIA,138,CAÑASGORDAS
30,5,ANTIOQUIA,142,CARACOLI
31,5,ANTIOQUIA,145,CARAMANTA
32,5,ANTIOQUIA,147,CAREPA
33,5,ANTIOQUIA,148,EL CARMEN DE VIBORAL
34,5,ANTIOQUIA,150,CAROLINA
35,5,ANTIOQUIA,154,CAUCASIA
36,5,ANTIOQUIA,172,CHIGORODO
37,5,ANTIOQUIA,190,CISNEROS
38,5,ANTIOQUIA,197,COCORNA
39,5,ANTIOQUIA,206,CONCEPCION
40,5,ANTIOQUIA,209,CONCORDIA
41,5,ANTIOQUIA,212,COPACABANA
42,5,ANTIOQUIA,234,DABEIBA
43,5,ANTIOQUIA,237,DON MATIAS
44,5,ANTIOQUIA,240,EBEJICO
45,5,ANTIOQUIA,250,EL BAGRE
46,5,ANTIOQUIA,264,ENTRERRIOS
47,5,ANTIOQUIA,266,ENVIGADO
48,5,ANTIOQUIA,282,FREDONIA
49,5,ANTIOQUIA,284,FRONTINO
50,5,ANTIOQUIA,306,GIRALDO
51,5,ANTIOQUIA,308,GIRARDOTA
52,5,ANTIOQUIA,310,GOMEZ PLATA
53,5,ANTIOQUIA,313,GRANADA
54,5,ANTIOQUIA,315,GUADALUPE
55,5,ANTIOQUIA,318,GUARNE
56,5,ANTIOQUIA,321,GUATAPE
57,5,ANTIOQUIA,347,HELICONIA
58,5,ANTIOQUIA,353,HISPANIA
59,5,ANTIOQUIA,360,ITAGUI
60,5,ANTIOQUIA,361,ITUANGO
61,5,ANTIOQUIA,364,JARDIN
62,5,ANTIOQUIA,368,JERICO
63,5,ANTIOQUIA,376,LA CEJA
64,5,ANTIOQUIA,380,LA ESTRELLA
65,5,ANTIOQUIA,390,LA PINTADA
66,5,ANTIOQUIA,400,LA UNION
67,5,ANTIOQUIA,411,LIBORINA
68,5,ANTIOQUIA,425,MACEO
69,5,ANTIOQUIA,440,MARINILLA
70,5,ANTIOQUIA,467,MONTEBELLO
71,5,ANTIOQUIA,475,MURINDO
72,5,ANTIOQUIA,480,MUTATA
73,5,ANTIOQUIA,483,NARIÑO
74,5,ANTIOQUIA,490,NECOCLI
75,5,ANTIOQUIA,495,NECHI
76,5,ANTIOQUIA,501,OLAYA
77,5,ANTIOQUIA,541,PEÐOL
78,5,ANTIOQUIA,543,PEQUE
79,5,ANTIOQUIA,576,PUEBLORRICO
80,5,ANTIOQUIA,579,PUERTO BERRIO
81,5,ANTIOQUIA,585,PUERTO NARE
82,5,ANTIOQUIA,591,PUERTO TRIUNFO
83,5,ANTIOQUIA,604,REMEDIOS
84,5,ANTIOQUIA,607,RETIRO
85,5,ANTIOQUIA,615,RIONEGRO
86,5,ANTIOQUIA,628,SABANALARGA
87,5,ANTIOQUIA,631,SABANETA
88,5,ANTIOQUIA,642,SALGAR
89,5,ANTIOQUIA,647,SAN ANDRES DE CUERQUIA
90,5,ANTIOQUIA,649,SAN CARLOS
91,5,ANTIOQUIA,652,SAN FRANCISCO
92,5,ANTIOQUIA,656,SAN JERONIMO
93,5,ANTIOQUIA,658,SAN JOSE DE LA MONTAÑA
94,5,ANTIOQUIA,659,SAN JUAN DE URABA
95,5,ANTIOQUIA,660,SAN LUIS
96,5,ANTIOQUIA,664,SAN PEDRO
97,5,ANTIOQUIA,665,SAN PEDRO DE URABA
98,5,ANTIOQUIA,667,SAN RAFAEL
99,5,ANTIOQUIA,670,SAN ROQUE
100,5,ANTIOQUIA,674,SAN VICENTE
101,5,ANTIOQUIA,679,SANTA BARBARA
102,5,ANTIOQUIA,686,SANTA ROSA DE OSOS
